Objects
100
,,Global Angle 511_24:511_24,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
115,0,-0.0116662,0.033019,0.0677614,-516.371,509.129,1.51233
116,0,-0.00732617,0.0363099,0.066078,-516.439,509.199,1.36679
117,0,-0.00860379,0.0333991,0.0678648,-516.418,509.161,1.41371
118,0,-0.0428737,0.0221905,0.077308,-516.145,508.756,1.43775
119,0,-0.019368,0.0299767,0.0734169,-516.402,509.023,1.60195
120,0,-0.0263039,0.0258811,0.0758837,-516.28,509.01,1.39492
121,0,-0.041236,0.0218991,0.0776195,-516.298,508.864,1.5155
122,0,-0.0427857,0.0201854,0.0775999,-516.355,508.829,1.55845
123,0,-0.0406739,0.0169399,0.0775462,-516.448,508.877,1.51977
124,0,-0.0400375,0.0155548,0.078928,-516.505,508.903,1.60218
125,0,-0.0396438,0.0199666,0.0796146,-516.653,508.892,1.54483
126,0,-0.0410417,0.0225712,0.0792283,-516.75,508.818,1.53748
127,0,-0.0392359,0.0247918,0.0789365,-516.852,508.776,1.51964
128,0,-0.0359388,0.02398,0.081187,-516.923,508.729,1.50275
129,0,-0.0307341,0.0194213,0.0836978,-517.021,508.755,1.55273
130,0,-0.0358304,0.0222254,0.0834868,-517.173,508.659,1.60676
131,0,-0.0359404,0.0256421,0.0830809,-517.289,508.657,1.74988
132,0,-0.044607,0.0264923,0.0851625,-517.375,508.506,1.8963
133,0,-0.0453589,0.0256851,0.0858063,-517.469,508.459,2.03397
134,0,-0.046392,0.0291657,0.0882447,-517.607,508.397,2.17447
135,0,-0.0460704,0.0385834,0.0858455,-517.816,508.282,2.25716
136,0,-0.0536155,0.0304923,0.0904528,-517.647,508.023,2.22487
137,0,-0.0544024,0.0306214,0.0919258,-517.72,507.893,2.48139
138,0,-0.0522266,0.0393952,0.092188,-517.882,507.8,2.62383
139,0,-0.0309979,0.0540484,0.0860675,-518.155,507.873,2.95857
140,0,-0.0178323,0.0550832,0.0863112,-518.239,507.979,3.2021
141,0,-0.0170262,0.0610526,0.0841853,-518.291,507.821,3.4678
142,0,-0.00334111,0.0710094,0.0841122,-518.395,507.872,4.13967
143,0,-0.00320436,0.0792752,0.0803847,-518.409,507.699,4.60378
144,0,-0.0251586,0.061499,0.0903307,-517.735,507.202,4.96831
145,0,-0.0402352,0.067794,0.0885097,-517.656,506.948,5.54323
146,0,-0.0441619,0.0640699,0.0915585,-517.332,506.726,6.16454
147,0,-0.0518936,0.0667943,0.0909718,-517.127,506.483,6.71338
148,0,-0.0645761,0.0534896,0.093266,-516.598,506.175,7.29514
149,0,-0.069826,0.0505579,0.0978006,-516.253,506,7.97662
150,0,-0.0799084,0.0493458,0.0966237,-515.837,505.747,8.70556
151,0,-0.0678019,0.0635066,0.0920375,-515.677,505.916,9.66896
152,0,-0.0738361,0.0539795,0.0943871,-515.222,505.751,10.5696
153,0,-0.0763969,0.0568225,0.0959604,-514.734,505.728,11.1411
154,0,-0.0691952,0.0543591,0.094533,-514.251,505.895,11.9725
155,0,-0.0779131,0.0478997,0.101107,-513.663,505.848,12.6741
156,0,-0.0814252,0.0232582,0.0913149,-512.603,505.816,13.7765
157,0,-0.0834638,0.0332193,0.100996,-512.402,506.015,14.3369
158,0,-0.0856137,0.0322764,0.101389,-511.904,506.177,15.0427
159,0,-0.0962204,0.0114066,0.104882,-511.021,506.224,15.6966
160,0,-0.0789149,0.0222345,0.102816,-510.776,506.807,16.589
161,0,-0.0964948,0.00215923,0.105119,-509.901,506.76,17.2661
162,0,-0.0797813,0.00381808,0.102552,-509.41,507.462,18.3393
163,0,-0.0875022,0.00449075,0.104881,-509.014,507.638,19.0823
164,0,-0.0837959,-0.00286933,0.106129,-508.434,508.12,20.0086
165,0,-0.0817425,-0.00220295,0.106104,-508.027,508.62,20.8955
166,0,-0.0818626,-0.0107416,0.108423,-507.5,509.118,21.796
167,0,-0.0761075,-0.00882525,0.107552,-507.135,509.755,22.6582
168,0,-0.0836468,-0.0308543,0.113081,-506.475,510.228,23.5423
169,0,-0.0736892,-0.0160232,0.111077,-506.425,510.98,24.607
170,0,-0.0679463,-0.0283403,0.108334,-506.093,511.614,25.8123
171,0,-0.0658397,-0.0242655,0.114015,-505.904,512.322,26.5648
172,0,-0.0369348,-0.0207205,0.114736,-505.864,513.383,27.6533
173,0,-0.0543611,-0.02503,0.116561,-505.626,513.87,28.5504
174,0,-0.0466491,-0.03015,0.119837,-505.574,514.695,29.5138
175,0,-0.0494315,-0.0292213,0.120118,-505.571,515.334,30.4633
176,0,-0.0442925,-0.0293185,0.122148,-505.628,516.146,31.4861
177,0,-0.0389897,-0.0273664,0.121297,-505.752,516.915,32.4979
178,0,-0.0335797,-0.0257793,0.124056,-505.973,517.718,33.5212
179,0,-0.0327632,-0.0314921,0.126209,-506.165,518.444,34.5841
180,0,-0.0295308,-0.0274424,0.125547,-506.494,519.151,35.5459
181,0,-0.0226753,-0.026955,0.129169,-506.819,519.978,36.6954
182,0,-0.028117,-0.0342296,0.129855,-507.068,520.525,37.5755
183,0,-0.0135366,-0.0194858,0.13008,-507.825,521.41,38.7731
184,0,-0.01626,-0.0205152,0.13002,-508.258,521.985,39.8802
185,0,-0.0132138,-0.0186049,0.131218,-508.819,522.603,40.9157
186,0,-0.0175018,-0.0268963,0.136824,-509.188,523.114,41.9638
187,0,0.00412731,0.00019754,0.128673,-510.156,524.048,43.278
188,0,0.000410417,-0.00898675,0.135224,-510.796,524.483,44.2455
189,0,-0.00508621,-0.00566761,0.135102,-511.502,524.811,45.3184
190,0,-0.00186136,-0.00795601,0.137436,-512.199,525.312,46.4387
191,0,-0.0106819,-0.0141722,0.140087,-512.768,525.544,47.3163
192,0,0.00557537,-0.00094589,0.138831,-513.806,526.164,48.5241
193,0,0.00554753,0.00700527,0.136731,-514.694,526.462,49.5434
194,0,0.00173428,0.00709785,0.140831,-515.55,526.742,50.5386
195,0,-0.00290119,0.0123063,0.14015,-516.391,526.904,51.5512
196,0,0.000182632,0.0164973,0.141218,-517.234,527.153,52.4597
197,0,-0.00587891,0.0170387,0.141069,-518.082,527.27,53.5178
198,0,-0.010219,0.0226305,0.140324,-519.003,527.39,54.55
199,0,-0.00324332,0.0267469,0.141804,-519.892,527.633,55.5077
200,0,-0.00675516,0.0284928,0.141672,-520.777,527.654,56.4876
201,0,-0.0193457,0.010867,0.148585,-521.351,527.505,57.3422
202,0,-0.0105798,0.0315208,0.145384,-522.556,527.668,58.5494
203,0,-0.00719924,0.030938,0.147357,-523.368,527.711,59.6044
204,0,-0.0113798,0.0354721,0.146597,-524.221,527.621,60.573
205,0,-0.00676425,0.0354967,0.149171,-525.08,527.687,61.7225
