Objects
100
,,Global Angle 511DRONE:511DRONE,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
124,0,0.012738,-0.0888393,3.23959,-67.9895,-4.50441,15.5487
125,0,0.013625,-0.0882427,3.23939,-67.9849,-4.49742,15.5471
126,0,0.0157277,-0.0922135,3.23907,-67.9798,-4.48318,15.5171
127,0,0.0161789,-0.0930708,3.23944,-67.9679,-4.48767,15.5125
128,0,0.0193967,-0.0970343,3.23939,-67.9858,-4.48258,15.471
129,0,0.015592,-0.0896475,3.23962,-67.9909,-4.49293,15.5558
130,0,0.0155229,-0.091668,3.23905,-67.9815,-4.4843,15.5367
131,0,0.0201076,-0.0966025,3.23956,-67.9747,-4.47246,15.4851
132,0,0.0173457,-0.0933403,3.24025,-67.9683,-4.47652,15.5242
133,0,0.013025,-0.0901465,3.23993,-67.9938,-4.48691,15.5401
134,0,0.0156207,-0.0911565,3.23929,-67.9797,-4.50116,15.5176
135,0,0.0166526,-0.0910426,3.23871,-67.9885,-4.48789,15.5359
136,0,0.0152931,-0.092454,3.23909,-67.983,-4.4919,15.5549
137,0,0.012342,-0.0871869,3.24076,-67.9762,-4.49399,15.5893
138,0,0.01545,-0.0932242,3.23925,-67.9811,-4.48786,15.5143
139,0,0.0175016,-0.0922711,3.23855,-67.9763,-4.49219,15.5458
140,0,0.0175987,-0.0914264,3.24033,-67.9838,-4.48309,15.5375
141,0,0.0153179,-0.0907064,3.23852,-67.9939,-4.50806,15.5541
142,0,0.0196478,-0.0954754,3.23956,-67.9646,-4.47869,15.5041
143,0,0.0174069,-0.0914775,3.23969,-67.9775,-4.48155,15.5206
144,0,0.0178072,-0.0915727,3.23958,-67.983,-4.49567,15.5367
145,0,0.0219297,-0.0953834,3.23904,-67.9813,-4.4829,15.4949
146,0,0.0204021,-0.092989,3.23964,-67.9864,-4.47401,15.5196
147,0,0.00163805,-0.065804,3.23967,-67.9648,-4.47593,15.699
148,0,-0.000255443,-0.0712169,3.23848,-67.9698,-4.50478,15.7511
149,0,0.0147888,-0.0822669,3.23541,-67.9885,-4.47826,15.5486
150,0,0.000606339,-0.0761196,3.24011,-67.9882,-4.48869,15.7545
151,0,0.00441811,-0.0759088,3.23902,-67.9325,-4.48788,15.6652
152,0,0.000123711,-0.0700887,3.23928,-67.9761,-4.45194,15.7801
